station_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2000,1,1,67,67,65,63,64,63,64,68,72,76,78,81,82,84,83,84,84,83,80,75,69,68,68,66
1,2000,1,2,66,64,64,62,62,63,63,67,70,74,77,79,80,82,79,79,78,71,72,70,68,67,66,65
1,2000,1,3,64,64,63,63,63,63,63,65,69,71,74,76,79,80,81,81,77,74,74,72,69,68,68,66
1,2000,1,4,65,64,63,62,61,61,62,65,69,74,77,80,81,82,83,83,81,82,79,77,73,72,71,70
1,2000,1,5,70,69,69,68,67,66,67,70,72,75,78,80,82,81,82,81,80,80,78,74,72,70,69,68
1,2000,1,6,68,66,66,65,66,63,64,68,71,71,73,76,78,81,81,81,81,79,79,76,72,71,70,70
1,2000,1,7,68,67,67,67,68,67,69,71,78,81,84,86,87,88,89,87,81,81,78,76,75,73,72,70
1,2000,1,8,71,69,67,66,64,64,64,69,73,76,80,82,84,87,88,89,89,89,85,79,75,74,74,73
1,2000,1,9,72,72,71,70,69,69,70,73,77,80,83,85,87,87,87,88,88,84,81,79,76,73,72,72
1,2000,1,10,71,71,70,69,68,68,68,70,75,79,82,84,86,87,88,88,87,87,85,81,78,78,75,74
1,2000,1,11,74,71,71,72,71,70,70,73,77,80,83,85,87,88,89,89,89,88,85,80,75,74,74,73
1,2000,1,12,73,73,74,73,72,72,74,75,75,80,81,83,87,86,87,85,85,83,81,76,74,68,68,67
1,2000,1,13,67,67,67,67,67,67,67,68,69,71,75,77,79,80,81,82,83,83,82,78,73,72,71,72
1,2000,1,14,73,72,71,72,73,72,71,72,74,76,76,79,80,80,80,80,79,78,77,75,71,71,71,67
1,2000,1,15,69,68,66,66,63,61,61,66,70,70,72,75,75,77,77,79,78,78,76,73,69,68,66,65
1,2000,1,16,64,63,64,64,64,64,64,64,63,64,64,66,68,68,68,69,69,70,70,70,70,70,70,69
1,2000,1,17,69,69,69,69,69,69,70,71,72,74,78,79,81,82,83,82,82,82,80,78,76,72,71,69
1,2000,1,18,69,67,67,63,62,64,66,69,72,76,78,80,79,81,82,81,81,81,78,73,68,66,65,64
1,2000,1,19,63,60,60,60,58,59,61,67,71,75,78,82,82,83,85,86,85,85,83,79,75,71,70,69
1,2000,1,20,69,68,67,69,69,68,65,70,72,74,78,79,81,83,84,85,85,86,84,78,75,73,72,71
1,2000,1,21,69,69,69,69,68,68,67,65,65,65,64,62,62,63,63,63,63,64,64,64,64,64,64,64
1,2000,1,22,64,64,64,63,63,62,62,62,62,65,66,69,69,68,70,72,72,72,71,68,66,64,63,61
1,2000,1,23,59,57,57,57,57,57,58,61,63,65,69,70,71,71,74,75,75,75,74,72,69,67,66,65
1,2000,1,24,66,65,64,64,64,65,65,66,67,69,71,74,78,79,80,79,79,79,79,77,71,69,68,68
1,2000,1,25,67,66,65,66,67,67,68,68,70,72,75,79,80,82,84,83,82,82,79,78,74,73,71,69
1,2000,1,26,69,67,66,66,65,65,67,70,75,79,83,86,87,87,89,87,88,86,84,81,77,75,73,72
1,2000,1,27,71,71,71,71,71,69,71,74,78,80,83,85,86,88,89,83,82,81,75,74,72,72,71,71
1,2000,1,28,71,71,71,70,71,71,71,74,76,79,81,84,86,87,88,89,88,87,83,79,77,72,72,72
1,2000,1,29,71,69,67,65,64,63,63,63,63,64,66,69,71,73,75,76,74,75,73,70,68,66,65,65
1,2000,1,30,64,63,62,61,61,60,60,63,64,68,69,72,73,73,74,74,75,75,74,73,72,71,71,71
1,2000,1,31,71,70,70,70,70,70,70,69,70,71,72,75,78,80,81,82,81,81,79,78,76,75,75,74
